TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
208,ROCm,MI300X,Mixtral-8x22B-Down,1,1024,6144,16384,bf16,PASS,0.43,479.68,1.00,413.93
209,ROCm,MI300X,Mixtral-8x22B-GateUP,1,2048,32768,6144,bf16,PASS,1.51,545.48,3.21,514.26
210,ROCm,MI300X,Mixtral-8x22B-Down,1,2048,6144,16384,bf16,PASS,0.69,600.33,1.69,486.89
211,ROCm,MI300X,Mixtral-8x22B-GateUP,1,4096,32768,6144,bf16,PASS,2.86,576.95,5.95,553.96
212,ROCm,MI300X,Mixtral-8x22B-Down,1,4096,6144,16384,bf16,PASS,1.37,602.51,3.09,534.53
213,ROCm,MI300X,Mixtral-8x22B-GateUP,1,8192,32768,6144,bf16,PASS,5.95,553.98,11.50,573.50
214,ROCm,MI300X,Mixtral-8x22B-Down,1,8192,6144,16384,bf16,PASS,2.81,587.09,5.89,559.58
215,ROCm,MI300X,Mixtral-8x22B-GateUP,1,16384,32768,6144,bf16,PASS,11.80,558.89,22.94,575.16
216,ROCm,MI300X,Mixtral-8x22B-Down,1,16384,6144,16384,bf16,PASS,5.54,595.80,11.84,557.17
217,ROCm,MI300X,Kimi-K2-GateUP,12,512,4096,7168,bf16,PASS,0.97,371.36,2.76,261.15
